review,rating,date,bank,source,review_clean
Very Good,5,2025-09-09,BOA,google_play,very good
masha alla,5,2025-09-08,BOA,google_play,masha alla
Best banking transaction application in Ethiopia !,5,2025-09-05,BOA,google_play,best banking transaction application in ethiopia !
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,BOA,google_play,السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا
tamaam kamal,1,2025-09-04,BOA,google_play,tamaam kamal
በጣም ሐሪፍ,5,2025-09-03,BOA,google_play,በጣም ሐሪፍ
great 👍,5,2025-09-02,BOA,google_play,great 👍
goof,4,2025-09-01,BOA,google_play,goof
absiniya banki,5,2025-08-29,BOA,google_play,absiniya banki
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,BOA,google_play,has issue after installation and i think it doesn't work with tecno common 30
One of the best in this business,5,2025-08-25,BOA,google_play,one of the best in this business
Excellent,5,2025-08-20,BOA,google_play,excellent
besat🥰,5,2025-08-19,BOA,google_play,besat🥰
unlimited experience,5,2025-08-18,BOA,google_play,unlimited experience
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA,google_play,"as bank, u should at least hire someone good at their job bc this a joke nowadays i can't even log in or even transfer without it crashing if u fix the app i will update this review i am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way"
very nice mobile banking app my favourite,5,2025-08-16,BOA,google_play,very nice mobile banking app my favourite
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA,google_play,"it almost never boots up!!! and even if it did, it crashes immediately"
best apps,5,2025-08-15,BOA,google_play,best apps
the worst app ever to exist in a bank history,1,2025-08-15,BOA,google_play,the worst app ever to exist in a bank history
thank you,5,2025-08-14,BOA,google_play,thank you
Best mobile app in the country,5,2025-08-14,BOA,google_play,best mobile app in the country
not fast,2,2025-08-12,BOA,google_play,not fast
keeps freezing at the front page.,1,2025-08-10,BOA,google_play,keeps freezing at the front page.
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA,google_play,it is not working on redminote 11 pro+ pls fix it
abseniya bank app,5,2025-08-08,BOA,google_play,abseniya bank app
yes goode app,5,2025-08-03,BOA,google_play,yes goode app
Great App,5,2025-08-02,BOA,google_play,great app
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA,google_play,1) crashes repeatedly 2) takes century to boot 3) repeatedly requires update which is very annoying. 4) it doesn't ask for password for one step confirmation when transferring money. 5) automatically stops music when the app is launched (it doesn't really matter just fyi) overall this have to be the worst mobile banking app i have tried so far and should not be released with all these bugs & issues.
ረጀብነሱ,1,2025-07-31,BOA,google_play,ረጀብነሱ
The Worst Mobile Banking App.,1,2025-07-31,BOA,google_play,the worst mobile banking app.
giod,5,2025-07-30,BOA,google_play,giod
best bank in ethiopia,5,2025-07-29,BOA,google_play,best bank in ethiopia
waqayyoo,5,2025-07-28,BOA,google_play,waqayyoo
please is not working,2,2025-07-27,BOA,google_play,please is not working
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,google_play,nothing when i need to install the apk it say that re-up date
I can log in from any where,5,2025-07-23,BOA,google_play,i can log in from any where
😇,3,2025-07-21,BOA,google_play,😇
no proplem,5,2025-07-20,BOA,google_play,no proplem
👍👍👍,5,2025-07-20,BOA,google_play,👍👍👍
excellent app,5,2025-07-18,BOA,google_play,excellent app
good work,5,2025-07-15,BOA,google_play,good work
☹️,5,2025-07-15,BOA,google_play,☹️
excellent,5,2025-07-14,BOA,google_play,excellent
Great BoA,5,2025-07-14,BOA,google_play,great boa
Good,5,2025-07-14,BOA,google_play,good
Okay,4,2025-07-13,BOA,google_play,okay
not working,1,2025-07-12,BOA,google_play,not working
This App is Getting worse and worse with every update,2,2025-07-11,BOA,google_play,this app is getting worse and worse with every update
ምርጥ ነው,1,2025-07-10,BOA,google_play,ምርጥ ነው
nice,5,2025-07-10,BOA,google_play,nice
meku,5,2025-07-07,BOA,google_play,meku
awasome app go a head,5,2025-07-04,BOA,google_play,awasome app go a head
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,google_play,it sucks as hell. it crashes most of the time and takes a long time to load .
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,google_play,"the app is nice and easy to use but after some time it crushed and said ""error check your device connectivity"" please fix it"
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,google_play,easy and very nice app to load more than the previouse but in recent time some loading problem detected.
wow,5,2025-07-01,BOA,google_play,wow
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,google_play,"the worst mba i have experienced, the app crush frequently and they take to long to fix the problem even more than a week."
amazing Banks App👌👌,3,2025-06-25,BOA,google_play,amazing banks app👌👌
good App fore me,5,2025-06-25,BOA,google_play,good app fore me
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA,google_play,"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app ....."
fantastic,5,2025-06-22,BOA,google_play,fantastic
👍,4,2025-06-21,BOA,google_play,👍
it's nice to use.,5,2025-06-21,BOA,google_play,it's nice to use.
app doesn't start,1,2025-06-21,BOA,google_play,app doesn't start
Excellent application,5,2025-06-18,BOA,google_play,excellent application
its very bad app its very slow,1,2025-06-17,BOA,google_play,its very bad app its very slow
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA,google_play,ብዙዬ ሺዋየ በለጠ
Good job!,5,2025-06-13,BOA,google_play,good job!
best financial app.,5,2025-06-12,BOA,google_play,best financial app.
ቆንጆ ነው በርቱ,5,2025-06-11,BOA,google_play,ቆንጆ ነው በርቱ
the worst app humans ever created,1,2025-06-09,BOA,google_play,the worst app humans ever created
it's not working,3,2025-06-05,BOA,google_play,it's not working
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,google_play,"hello, i’m facing a problem with the boa mobile app. every time i enter my phone number and password, the app crashes and shows an error that says “boamobile closed because this app has a bug.” i tried updating, reinstalling, and clearing cache, but nothing worked. please fix this bug in the next update. i really need access to my account. thank you."
exceptional,5,2025-06-03,BOA,google_play,exceptional
BoA Mobile good bank,5,2025-06-02,BOA,google_play,boa mobile good bank
this is worest app 24/7 loading,1,2025-06-01,BOA,google_play,this is worest app 24/7 loading
BoA system is confartable,5,2025-06-01,BOA,google_play,boa system is confartable
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,google_play,"this app, for me , is a waste of time. it doesn't work . i can't even long in, and it really piss me off. fix the problem"
Good service.,3,2025-05-25,BOA,google_play,good service.
the app crush frequently,1,2025-05-24,BOA,google_play,the app crush frequently
You guys keeps getting worst,1,2025-05-22,BOA,google_play,you guys keeps getting worst
